Date,Open,High,Low,Close,Volume,Stock,Ticker,Sector,Year,Month,Month_Name,Quarter,Daily_return,Volatility_30D
2020-06-19,774.1826661037212,778.9295287758849,768.7425768325597,771.3615112304688,3654715,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.03494588252789255,2.1027459498898105
2020-06-22,776.4454621400839,782.3188478289148,772.3821878418763,776.609130859375,2655980,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,0.6803061278667144,1.9900145231896254
2020-06-23,779.5073148712304,795.317360226027,778.0052650646204,791.2445068359375,4799415,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,1.8845227792219532,1.9263547117231747
2020-06-24,791.9377415159064,796.6076184670945,775.7328929681363,778.496337890625,2677740,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-1.6111541799247897,1.8994104191791972
2020-06-25,776.0602262486968,778.1785165354693,765.7673159344575,771.5540771484375,3769375,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.8917525239743429,1.9107509272231258
2020-06-26,773.1718003250039,782.8003408022767,763.5432598477311,770.0136108398438,3719560,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.19965759422685414,1.8923191862244149
2020-06-29,769.8979786910326,778.7562465979767,762.3395988499645,765.2474365234375,2692435,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.6189727362361563,1.8987498349133825
2020-06-30,770.2830984159126,772.3821128069436,755.9365522007416,759.6820678710938,3404710,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.7272639393119062,1.8797687989034728
2020-07-01,763.581698340532,763.7357878872182,748.3012103954209,753.2310180664062,3117825,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-0.8491775806641955,1.8893532526617705
2020-07-02,759.8843509126262,766.2391634906621,751.218665341882,754.9833984375,3711465,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.23264846097179603,1.579935190497354
2020-07-03,758.7288864338585,764.1112656866316,752.951762933093,755.1566772460938,2280380,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.022951340248322794,1.5498990205414789
2020-07-06,755.8404087536204,758.7289708252903,746.5970336314551,749.485595703125,2848085,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-0.7509807850272998,1.5425375402442605
2020-07-07,750.0439575576025,754.6849206883087,734.4649875659818,736.29443359375,5179985,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-1.760028769732369,1.5707426536701934
2020-07-08,737.7386978292673,759.6339869403108,737.7386978292673,748.4649047851562,6811290,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,1.652935379669218,1.5980308082010908
2020-07-09,751.9889254540456,754.2997984120408,742.1774414767252,750.371337890625,2455715,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.2547124244945076,1.5985190396499758
2020-07-10,750.9682560564177,762.0025826562005,747.7908500121888,752.0755615234375,4152955,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.2271173679958549,1.33107578912494
2020-07-13,758.829958744777,761.4754660787416,750.825536492047,755.7774047851562,2678440,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,0.4922169328597903,1.228446942355722
2020-07-14,756.6398494760867,774.4802256394403,750.8255062795802,771.9800415039062,6044725,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,2.143837142545424,1.2577612259964244
2020-07-15,773.1138371235477,784.5099594770518,767.6871403583356,782.3101806640625,5296965,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,1.3381355222645386,1.242561080020344
2020-07-16,781.2732357061597,806.8273274485498,777.3970070633748,804.734130859375,7809325,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,2.8663758633791447,1.3347339901156703
2020-07-17,802.5731806042071,805.8679395787633,794.6268997771244,798.2608642578125,3712880,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-0.8043981674605627,1.3425374227120377
2020-07-20,802.2534281203915,805.0927587911214,789.2777372297335,793.0958251953125,3144360,Dr Reddys,DRREDDY.NS,Pharma,2020,7,July,3,-0.6470364881663415,1.3192938235726144
